Enter/Select Name:,Aaron Steinberg,,Hole:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TOTAL
Enter/Select Division:,Open,,Par:,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,59
Rating,,,Score:,3,8,7,4,4,4,5,6,5,7,3,4,4,5,5,5,4,5,88
Avg. Division Rating,923,,Division Average,2.50,4.50,4.50,2.50,3.25,3.25,3.50,3.75,3.00,4.75,2.25,3.00,3.00,3.00,3.50,3.00,2.75,2.50,58.50
Round Rating,658,,Overall Average,3.17,5.12,4.87,3.15,3.44,3.75,3.87,4.81,4.15,5.20,2.69,3.74,3.62,3.69,4.50,3.77,3.39,3.39,70.26
Projected Score (Trending),,,Overall Average ±,0.17,1.12,0.87,0.15,0.44,0.75,0.87,0.81,0.15,1.20,-0.31,0.74,0.62,0.69,1.50,0.77,0.39,0.39,11.26
,,,,,,,,,,,,,,,,,,,,,,
Division Rank,,,,,,,,,,,,,,,,,,,,,,
Open,5,,,,,,,,,,,,,,,,,,,,,
Pro Masters,5,,,,,,,,,,,,,,,,,,,,,
Advanced,15,,,,,,,,,,,,,,,,,,,,,
Advanced Women,8,,,,,,,,,,,,,,,,,,,,,
Amateur Masters 40,7,,,,,,,,,,,,,,,,,,,,,
Amateur Masters 60,2,,,,,,,,,,,,,,,,,,,,,
Intermediate,33,,,,,,,,,,,,,,,,,,,,,
Intermediate Women,3,,,,,,,,,,,,,,,,,,,,,
Recreational,77,,,,,,,,,,,,,,,,,,,,,
Recreational Women,5,,,,,,,,,,,,,,,,,,,,,
Novice Women,3,,,,,,,,,,,,,,,,,,,,,
Junior <= 15,2,,,,,,,,,,,,,,,,,,,,,
Overall,155,,,,,,,,,,,,,,,,,,,,,
